cell,dtype,backend,n_raw,n_outlier,n_valid,median_ms,stdev_ms,cv_pct,p25_ms,p75_ms,min_ms,max_ms,max_abs_err_max,cosine_min
M3,f16,opencl,7,0,7,0.589,0.0112,1.91,0.583,0.593,0.571,0.608,None,None
M4,f16,qnn-gpu,7,1,6,1.5285,0.1375,9.0,1.4905,1.7545,1.48,1.798,None,None
