position,score
0,24.439453
1,0.089295
2,0.071644
3,0.055425
4,0.053686
5,0.130775
6,0.141321
7,0.068121
8,0.092886
9,0.075081
10,0.081305
11,0.068700
12,0.093522
13,0.133000
14,0.059562
15,0.127070
16,0.204421
17,0.124165
18,0.135447
19,0.101042
20,0.209243
21,0.098152
22,0.086183
23,0.073328
24,0.061589
25,0.238286
26,0.064599
27,0.155686
28,0.115821
29,0.100494
30,0.146593
31,0.178206
32,0.157843
33,0.233625
34,0.100234
35,0.203891
36,0.112824
37,0.159558
38,0.108451
39,0.146730
40,0.161972
41,0.116441
42,0.088838
43,0.051997
44,0.218254
45,0.197149
46,0.103095
47,0.154493
48,0.589485
49,0.221492
50,0.434302
51,0.416554
52,0.273575
53,0.224360
54,0.417564
55,0.278622
56,0.236893
57,0.347623
58,0.219467
59,0.245799
60,0.328629
61,0.449967
62,0.336976
63,0.591932
64,0.260249
65,0.218787
66,0.264133
67,0.256940
68,0.404961
69,0.220760
70,0.232981
71,0.176738
72,0.221506
73,0.177951
74,0.260574
75,0.154813
76,0.683808
77,0.427184
78,0.483904
79,0.377715
80,0.655149
81,0.405402
82,0.313410
83,0.315614
84,0.366536
85,0.171845
86,0.250697
87,0.524810
88,0.377235
89,0.456128
90,0.317634
91,0.369688
92,0.360565
93,0.254693
94,0.367305
95,0.491854
96,0.458860
97,0.700752
98,0.406508
99,0.421163
100,0.374896
101,0.488874
102,0.935282
103,0.521837
104,0.394401
105,0.325032
106,0.418958
107,0.299130
108,0.830201
109,0.553489
110,0.403417
111,0.256494
112,0.533021
113,0.553270
114,0.396768
115,0.324441
116,0.570188
117,0.398219
118,0.366297
119,0.445280
120,1.023842
121,0.644668
122,0.652716
123,0.709519
124,1.114554
125,0.568112
126,0.701710
127,0.565076
128,0.609264
129,0.688023
130,0.526651
131,0.509750
132,0.775674
133,0.501663
134,0.399816
135,0.839865
136,0.646917
137,0.465886
138,0.663904
139,0.548394
140,1.019764
141,0.597226
142,0.605773
143,0.770375
144,0.436273
145,0.730618
146,0.601692
147,0.435657
148,1.144658
149,0.969099
150,1.336298
151,0.852368
152,2.242232
153,1.153350
154,0.853461
155,1.656719
156,1.008461
157,0.976687
158,0.858691
159,1.314195
160,0.901042
161,1.616200
162,1.665905
163,1.426816
164,1.255010
165,1.194829
166,1.832870
167,2.223518
168,2.102279
169,1.708290
170,1.960423
171,2.762235
172,2.740310
173,2.983099
174,2.958393
175,3.526594
176,4.266247
177,6.352426
