position,score
0,19.508833
1,0.095882
2,0.166311
3,0.401027
4,0.175411
5,0.111228
6,0.061474
7,0.184653
8,0.104956
9,0.139546
10,0.065199
11,0.269707
12,0.242906
13,0.132029
14,0.123121
15,0.105077
16,0.086568
17,0.108281
18,0.280322
19,0.098001
20,0.091666
21,0.060580
22,0.133994
23,0.116346
24,0.079134
25,0.118871
26,0.057201
27,0.122941
28,0.127904
29,0.063310
30,0.161536
31,0.107808
32,0.276029
33,0.093280
34,0.139575
35,0.085098
36,0.147028
37,0.054629
38,0.090694
39,0.078294
40,0.104993
41,0.080493
42,0.116714
43,0.078584
44,0.235137
45,0.175231
46,0.115536
47,0.140957
48,0.143165
49,0.126186
50,0.148601
51,0.089612
52,0.057892
53,0.132438
54,0.174708
55,0.107479
56,0.123396
57,0.141073
58,0.387159
59,0.208965
60,0.269421
61,0.217408
62,0.162639
63,0.166232
64,0.144391
65,0.215599
66,0.125892
67,0.611476
68,0.302876
69,0.265218
70,0.318146
71,0.266556
72,0.149338
73,0.236565
74,0.554973
75,0.555554
76,0.524577
77,0.892187
78,0.708933
79,0.492168
80,0.608118
81,0.449582
82,0.346964
83,0.336889
84,0.618901
85,0.283074
86,0.272542
87,0.520498
88,0.798243
89,0.415170
90,0.542808
91,0.493902
92,0.605630
93,0.441764
94,0.219971
95,0.400990
96,0.546493
97,0.434223
98,0.485430
99,0.450795
100,0.430155
101,0.367399
102,0.376948
103,0.484917
104,0.588579
105,0.430086
106,0.391779
107,0.604794
108,0.414201
109,0.239920
110,0.546710
111,0.522429
112,0.334464
113,0.284099
114,0.354777
115,0.330879
116,0.342450
117,0.317819
118,0.255007
119,0.484856
120,0.320515
121,0.375886
122,0.289028
123,0.246854
124,0.689836
125,0.673020
126,0.414371
127,0.636316
128,0.466585
129,0.356693
130,0.326851
131,0.469634
132,0.528258
133,0.482883
134,0.355359
135,0.328220
136,0.310950
137,0.683161
138,0.438786
139,0.560289
140,0.412237
141,0.364535
142,0.682809
143,14.152273
144,0.731719
145,0.720480
146,0.610688
147,0.465556
148,0.461600
149,0.704992
150,0.610819
151,0.565518
152,1.490599
153,1.167181
154,0.500319
155,0.852122
156,1.017265
157,1.153723
158,0.917498
159,1.003668
160,0.860202
161,1.091501
162,1.424983
163,1.451595
164,1.047267
165,1.558814
166,1.585089
167,1.151666
168,0.980456
169,1.588968
170,0.848696
171,1.057011
172,2.036930
173,1.083189
174,0.769523
175,1.020472
176,0.750935
177,1.898802
178,1.301157
179,1.318013
180,1.317401
181,1.734650
182,2.626590
183,1.889394
184,4.560042
185,2.478105
186,2.931947
187,5.918077
