engine,model,run,prefill_tok_s,decode_tok_s,prefill_ms,decode_ms_per_tok,prompt_tokens,temp_before_max_mC,temp_after_max_mC
llama.cpp,f16,r3_mean_stdev,108.49±3.63,19.76±0.03,,,128,36100,72200
llama.cpp,q4_0,r3_mean_stdev,62.06±12.28,32.35±0.16,,,128,36100,65300
llm.rs,f16,r1,131.2,17.5,998.18,57.13,131,36100,55300
llm.rs,f16,r2,134.8,17.9,971.60,55.77,131,37300,64900
llm.rs,f16,r3,132.8,18.0,986.52,55.63,131,37300,74200
llm.rs,q4_0,r1,63.6,30.8,2060.37,32.44,131,36900,66500
llm.rs,q4_0,r2,61.4,30.4,2132.17,32.87,131,36900,66100
llm.rs,q4_0,r3,60.8,28.9,2154.34,34.56,131,36900,59200
