ts_s,rss_kb,vmpeak_kb
1778752388.878065039,568984,33436384
1778752389.760374004,568984,33436384
1778752390.659333960,568984,33436384
1778752391.554449113,568984,33436384
1778752392.444362808,568984,33436384
1778752393.336000784,568984,33436384
1778752394.225639061,568984,33436384
1778752395.105795824,568984,33436384
1778752395.993130184,568984,33436384
1778752396.880881405,568984,33436384
1778752397.750236796,568984,33436384
1778752398.639555107,568984,33436384
1778752399.529589255,568984,33436384
1778752400.425633247,568984,33436384
1778752401.304581833,568984,33436384
1778752402.201369653,568984,33436384
1778752403.101544993,728976,54386512
1778752403.982217727,1274216,54386512
1778752404.863814263,1864928,54386512
1778752405.766374045,2458760,54394736
1778752406.662323628,3048540,54394736
1778752407.558664248,3628780,54402928
1778752408.453442220,4238168,54402928
1778752409.352011071,4837352,54402928
1778752410.248213564,5428204,54402928
1778752411.160139742,6017008,54402928
1778752412.046657283,6619624,54402928
1778752412.930546045,7206464,54402928
1778752413.811606102,7795204,54402928
1778752414.698953966,8426228,54402928
1778752415.589250505,8967168,54402928
1778752416.480896896,9573100,54402928
1778752417.367408632,10171260,54402928
1778752418.258143884,10780540,54402928
1778752419.158238011,11383132,54402928
1778752420.060484973,11984640,54402928
1778752420.952725473,12594428,54402928
1778752421.841320124,13179080,54402928
1778752422.726330935,13772076,54402928
1778752423.626174258,14391484,54402928
1778752424.520595097,14940896,54402928
1778752425.406273982,15545896,54402928
1778752426.297431875,16143416,54402928
1778752427.190197083,16741848,54402928
1778752428.080515773,17323056,54402928
1778752428.971674928,17921924,54402928
1778752429.869145134,18550192,54402928
1778752430.773310445,19145376,54402928
1778752431.669558884,19738460,54402928
1778752432.562114138,20336108,54402928
1778752433.463987521,20933620,54402928
1778752434.364005871,21519888,54402928
1778752435.260157834,22122400,54402928
1778752436.148972859,22721648,54402928
1778752437.037774979,23313448,54402928
1778752437.923090211,23898556,54402928
1778752438.811236146,24514416,54402928
1778752439.705476267,25090652,54402928
1778752440.595911236,25685744,54402928
1778752441.485191972,26309316,54402928
1778752442.373710290,26851636,54402928
1778752443.263676719,27128076,54402928
1778752444.203123502,27432820,54402928
1778752445.140559797,26566512,54402928
1778752446.242486267,27241032,54402928
1778752447.130674408,27894200,54402928
1778752448.029524373,27981672,54402928
1778752449.047580959,26879260,54402928
1778752450.419755193,27143448,54402928
1778752451.300237004,27805020,54402928
1778752452.188067763,28001808,54402928
1778752453.169200682,27987512,54568844
1778752454.146813245,27970980,54888332
1778752455.123046211,27983360,54888332
1778752456.026508959,27998520,54888332
1778752456.939927527,27759216,54888332
1778752457.849065404,27715108,54888332
1778752458.755702755,27529380,54888332
1778752459.696175659,27939308,54888332
1778752460.622859027,27939508,54888332
1778752461.544630018,27993152,54888332
1778752462.465094485,27747384,54888332
1778752463.358815910,27599296,54888332
1778752464.274687550,27672088,54888332
1778752465.160074216,27536824,54888332
1778752466.096001037,27547380,54888332
1778752467.005214717,27637572,54888332
1778752467.919990197,27652236,54888332
1778752468.816995665,27711744,54888332
1778752469.758094350,27975940,54888332
1778752470.671637853,27974276,54888332
1778752471.597464056,27887620,54888332
1778752472.535037988,27797768,54888332
1778752473.444458070,27694280,54888332
1778752474.356947667,27675940,54888332
1778752475.292408495,27615492,54888332
1778752476.207029525,27478440,54888332
1778752477.149088481,27972072,54888332
1778752478.069103510,27940852,54888332
1778752479.001530551,27957620,54888332
1778752479.941481010,27905164,54888332
1778752480.917075697,27984008,54888332
1778752481.833662553,27922940,54888332
1778752482.736582935,27756372,54888332
1778752483.682594290,27633300,54888332
1778752484.578258868,27472204,54888332
1778752485.505919925,27963308,57498968
1778752486.520744020,27944872,57498968
1778752487.518515430,27982876,57498968
1778752488.473057090,27970904,57787548
1778752489.461210989,27967212,57787548
1778752490.389729643,27962840,58076128
1778752491.363396608,27296860,58076128
1778752492.253625532,24523168,58076128
1778752493.145212777,24238152,58076128
1778752494.038185593,24416016,58076128
1778752494.933068802,24586672,58076128
1778752495.808467185,24326144,58076128
1778752496.700092007,24515808,58076128
1778752497.589610724,24250592,58076128
1778752498.479635234,24432120,58076128
1778752499.372093733,24626008,58076128
1778752500.266675632,24376040,58076128
1778752501.163194708,24553408,58076128
1778752502.046713377,24296580,58076128
1778752502.936997566,24481224,58076128
1778752503.822127213,24231552,58076128
1778752504.717187926,24417864,58076128
1778752505.610324197,24606208,58076128
1778752506.495262736,24358088,58076128
1778752507.390808670,24534400,58076128
1778752508.276726185,24283344,58076128
1778752509.163822101,24472512,58076128
1778752510.054029825,24222312,58076128
1778752510.945977288,24411152,58076128
1778752511.827891467,24579544,58076128
1778752512.693761696,24297288,58076128
1778752513.584856727,24991608,58076128
1778752514.476726921,24267492,58076128
1778752515.361902292,24360704,58076128
1778752516.273046605,23031700,58076128
1778752517.187194962,19198348,58076128
1778752518.086126288,14512804,58076128
1778752518.991991377,11105212,58076128
1778752519.882642067,11105212,58076128
1778752520.766637178,11105212,58076128
1778752521.654199178,11105212,58076128
1778752522.544661145,4724028,58076128
