ts_s,rss_kb,vmpeak_kb
1778752732.467283573,566804,33436232
1778752733.353464903,566804,33436232
1778752734.248211326,566804,33436232
1778752735.142234719,566804,33436232
1778752736.037737853,566804,33436232
1778752736.928595438,566804,33436232
1778752737.825549143,566804,33436232
1778752738.707736945,566804,33436232
1778752739.592659878,566804,33436232
1778752740.477481002,566804,33436232
1778752741.366423216,566804,33436232
1778752742.258414912,566804,33436232
1778752743.143858640,566804,33436232
1778752744.046808252,566804,33436232
1778752744.940345576,566804,33436232
1778752745.832367078,566804,33436232
1778752746.721768037,746656,54386512
1778752747.608262110,1290276,54386512
1778752748.507255095,1896600,54386512
1778752749.401390770,2492560,54394732
1778752750.309031373,3088132,54394732
1778752751.199245307,3686060,54402924
1778752752.105811208,4259300,54402924
1778752752.999146135,4869024,54402924
1778752753.890018422,5458040,54402924
1778752754.782377027,6036536,54402924
1778752755.655558567,6654676,54402924
1778752756.554990414,7235964,54402924
1778752757.444460044,7824792,54402924
1778752758.333908479,8416764,54402924
1778752759.224623417,9007552,54402924
1778752760.112110415,9586660,54402924
1778752761.004790678,10198224,54402924
1778752761.901420098,10793192,54402924
1778752762.792173853,11354084,54402924
1778752763.677054983,11945032,54402924
1778752764.566004228,12566964,54402924
1778752765.465745180,13153700,54402924
1778752766.350805782,13748836,54402924
1778752767.242623011,14376164,54402924
1778752768.128524882,14922676,54402924
1778752769.016415155,15539552,54402924
1778752769.909245943,16135180,54402924
1778752770.797909063,16739992,54402924
1778752771.688414502,17333344,54402924
1778752772.575800612,17915316,54402924
1778752773.462346964,18529052,54402924
1778752774.358029865,19132724,54402924
1778752775.252897346,19715220,54402924
1778752776.135489783,20353576,54402924
1778752777.030760345,20913284,54402924
1778752777.928639022,21507988,54402924
1778752778.813015332,22111832,54402924
1778752779.714520404,22717372,54402924
1778752780.611132712,23307896,54402924
1778752781.498715709,23898548,54402924
1778752782.384228619,24516520,54402924
1778752783.275299207,25109652,54402924
1778752784.174703178,25694156,54402924
1778752785.059812004,26317756,54402924
1778752785.958073782,26849516,54402924
1778752786.856408649,27182984,54402924
1778752787.761388893,27233756,54402924
1778752788.790140298,26744420,54402924
1778752789.797330344,27425540,54402924
1778752790.686794430,28006880,54402924
1778752791.637122375,27993540,54402924
1778752792.674922652,26965576,54402924
1778752794.040569061,26929248,54402924
1778752794.932637815,27608308,54402924
1778752795.824936607,27964960,54402924
1778752796.816512402,27976724,54568840
1778752797.813589618,27952828,54888328
1778752798.790956623,27988692,54888328
1778752799.697637109,27931432,54888328
1778752800.641210624,27966536,54888328
1778752801.571056773,27960576,54888328
1778752802.519153087,27908036,54888328
1778752803.514858756,27986872,54888328
1778752804.437191772,27866340,54888328
1778752805.338146723,27663720,54888328
1778752806.280713305,27562788,54888328
1778752807.175449531,27470632,54888328
1778752808.116393095,27888208,54888328
1778752809.078025363,27951476,54888328
1778752810.003078411,27986472,54888328
1778752810.899593639,28002540,54888328
1778752811.802356960,27719288,54888328
1778752812.690690630,27624052,54888328
1778752813.592596858,27665524,54888328
1778752814.498826654,27615740,54888328
1778752815.444065193,27516756,54888328
1778752816.334262593,27512916,54888328
1778752817.250583136,27664124,54888328
1778752818.145595386,27525824,54888328
1778752819.067794299,27928448,54888328
1778752820.015207692,27963444,54888328
1778752820.942551336,27993312,54888328
1778752821.844605790,27948904,54888328
1778752822.805316542,27861276,54888328
1778752823.702246037,27710516,54888328
1778752824.606128958,27617272,54888328
1778752825.544181187,27656116,54888328
1778752826.472553099,27505084,54888328
1778752827.417859018,27960204,54888328
1778752828.326109679,27922748,54888328
1778752829.273397971,27981928,57498964
1778752830.253474237,27965440,57498964
1778752831.228198536,27946896,57498964
1778752832.201159321,27976780,57787544
1778752833.123200877,27951660,57787544
1778752834.044169918,27533020,58076124
1778752835.291962515,24198488,58076124
1778752836.189335141,24331656,58076124
1778752837.077255955,24507968,58076124
1778752837.973981928,24248200,58076124
1778752838.862825160,24433408,58076124
1778752839.756931936,24174496,58076124
1778752840.650844112,24360960,58076124
1778752841.543005830,24541232,58076124
1778752842.443156795,24276744,58076124
1778752843.335405358,24455056,58076124
1778752844.221643897,24189544,58076124
1778752845.114160362,24362924,58076124
1778752846.007425825,24548624,58076124
1778752846.898797509,24287568,58076124
1778752847.794137677,24477232,58076124
1778752848.688284167,24220480,58076124
1778752849.587624404,24400408,58076124
1778752850.474180385,24592184,58076124
1778752851.368187529,24343800,58076124
1778752852.272321354,24522224,58076124
1778752853.162708516,24266712,58076124
1778752854.055477964,24460864,58076124
1778752854.944166770,24207276,58076124
1778752855.852590053,24364312,58076124
1778752856.742146210,24587128,58076124
1778752857.631654298,25192216,58076124
1778752858.527200997,24235808,58076124
1778752859.415250095,24312232,58076124
1778752860.314090020,19681940,58076124
1778752861.224443528,14417092,58076124
1778752862.136007129,11056228,58076124
1778752863.021943280,11056228,58076124
1778752863.910769731,11056228,58076124
1778752864.798623700,11056228,58076124
1778752865.689483961,8280324,58076124
1778752866.574722491,,
