ts_s,rss_kb,vmpeak_kb
1778752560.220060309,569408,33436916
1778752561.105800340,569408,33436916
1778752562.003680517,569408,33436916
1778752562.901120895,569408,33436916
1778752563.791443522,569408,33436916
1778752564.687042929,569408,33436916
1778752565.584874648,569408,33436916
1778752566.468490990,569408,33436916
1778752567.359975559,569408,33436916
1778752568.242024471,569408,33436916
1778752569.125486903,569408,33436916
1778752570.015155960,569408,33436916
1778752570.903279304,569408,33436916
1778752571.788027322,569408,33436916
1778752572.683453747,569408,33436916
1778752573.571523086,569408,33436916
1778752574.462779252,569408,33436916
1778752575.369353460,1062288,54386512
1778752576.274536310,1675768,54386512
1778752577.177425705,2270736,54386512
1778752578.066747834,2865692,54394732
1778752578.962788975,3444540,54402928
1778752579.852493882,4061128,54402928
1778752580.752052972,4656388,54402928
1778752581.653271494,5251568,54402928
1778752582.550286104,5853488,54402928
1778752583.453336328,6449164,54402928
1778752584.346899891,7038336,54402928
1778752585.234977793,7648252,54402928
1778752586.141164791,8260116,54402928
1778752587.033189627,8844280,54402928
1778752587.914635628,9421468,54402928
1778752588.793664191,10021224,54402928
1778752589.676232438,10616408,54402928
1778752590.563598004,11205236,54402928
1778752591.444153043,11835440,54402928
1778752592.336743248,12377724,54402928
1778752593.218221926,12981108,54402928
1778752594.101513962,13561488,54402928
1778752594.982787496,14157292,54402928
1778752595.869541408,14740096,54402928
1778752596.757884203,15329724,54402928
1778752597.646782892,15945308,54402928
1778752598.537739682,16523636,54402928
1778752599.426436678,17120072,54402928
1778752600.316556944,17737060,54402928
1778752601.201711128,18322700,54402928
1778752602.099388194,18909388,54402928
1778752602.985768097,19496120,54402928
1778752603.872611450,20085072,54402928
1778752604.761521479,20667612,54402928
1778752605.649817101,21274380,54402928
1778752606.541941315,21882076,54402928
1778752607.438297834,22479400,54402928
1778752608.332142515,23081424,54402928
1778752609.224172819,23707460,54402928
1778752610.116920803,24269992,54402928
1778752610.997542461,24865164,54402928
1778752611.890386882,25456604,54402928
1778752612.783814336,26040308,54402928
1778752613.678575130,26622012,54402928
1778752614.569997112,27057164,54402928
1778752615.542244945,27381448,54402928
1778752616.455401289,26710064,54402928
1778752617.762616998,26979964,54402928
1778752618.646890267,27638940,54402928
1778752619.533809521,27971644,54402928
1778752620.544357039,27154972,54402928
1778752622.016615976,26991088,54402928
1778752622.903494761,27666136,54402928
1778752623.789927970,27968136,54402928
1778752624.767520821,27995188,54402928
1778752625.748759572,27946132,54888332
1778752626.727109536,27997316,54888332
1778752627.629626674,27662952,54888332
1778752628.531566771,27553228,54888332
1778752629.482082750,27993652,54888332
1778752630.393529720,28007784,54888332
1778752631.306046519,27622132,54888332
1778752632.239242101,27545604,54888332
1778752633.147923425,27942520,54888332
1778752634.098207041,28020508,54888332
1778752635.028235681,27687032,54888332
1778752635.922797859,27541004,54888332
1778752636.836110535,27631388,54888332
1778752637.732726317,27491332,54888332
1778752638.659622732,27639420,54888332
1778752639.587591499,27724568,54888332
1778752640.497088010,27987240,54888332
1778752641.389241289,27885144,54888332
1778752642.284149202,27648124,54888332
1778752643.216263520,27571472,54888332
1778752644.144928832,27925336,54888332
1778752645.085012033,27960404,54888332
1778752646.009641414,27860592,54888332
1778752646.945572410,27684020,54888332
1778752647.887466865,27986708,54888332
1778752648.769626976,28011628,54888332
1778752649.672147777,27741064,54888332
1778752650.601850401,27620144,54888332
1778752651.496301748,27641228,54888332
1778752652.407189161,27568924,54888332
1778752653.302806611,27612660,54888332
1778752654.247328764,27521888,54888332
1778752655.187677650,27731116,54888332
1778752656.104261616,27936292,54888332
1778752657.034332715,27946048,54888332
1778752657.980048348,27966764,57498968
1778752658.941841396,27962992,57498968
1778752659.924479511,27966732,57498968
1778752660.910803713,27964760,57787548
1778752661.874594084,27946512,57787548
1778752662.817734477,27586088,58076128
1778752664.011834393,24399172,58076128
1778752664.909601830,24250908,58076128
1778752665.807133443,24420240,58076128
1778752666.696037672,24594856,58076128
1778752667.591752783,24349376,58076128
1778752668.491641724,24524104,58076128
1778752669.384080501,24266216,58076128
1778752670.281146615,24457992,58076128
1778752671.170189855,24196968,58076128
1778752672.062416723,24376416,58076128
1778752672.953823681,24563176,58076128
1778752673.839545786,24304760,58076128
1778752674.729728134,24481864,58076128
1778752675.624394460,24235032,58076128
1778752676.527900879,24419184,58076128
1778752677.417143552,24398364,58076128
1778752678.310565442,24365480,58076128
1778752679.218881275,24552616,58076128
1778752680.108123060,24289976,58076128
1778752680.986397401,24474624,58076128
1778752681.867763028,24218928,58076128
1778752682.766867844,24401760,58076128
1778752683.656736231,24591424,58076128
1778752684.539885065,24302832,58076128
1778752685.441861564,24522480,58076128
1778752686.323193831,25195036,58076128
1778752687.211394030,24232624,58076128
1778752688.096835230,24301472,58076128
1778752688.982944028,21268688,58076128
1778752689.897104669,16116292,58076128
1778752690.802053951,11045712,58076128
1778752691.700291090,11045712,58076128
1778752692.586030045,11045712,58076128
1778752693.470705077,11045712,58076128
1778752694.357714317,10603956,58076128
1778752695.250806351,597444,58076128
