ts_s,rss_kb,vmpeak_kb
1778752903.638229996,568336,33437720
1778752904.517539804,568336,33437720
1778752905.416164057,568336,33437720
1778752906.316024885,568336,33437720
1778752907.203963382,568336,33437720
1778752908.098385508,568336,33437720
1778752908.988283726,568336,33437720
1778752909.874781068,568336,33437720
1778752910.767606257,568336,33437720
1778752911.655595292,568336,33437720
1778752912.549961402,568336,33437720
1778752913.441122805,568336,33437720
1778752914.323590650,568336,33437720
1778752915.213423016,568336,33437720
1778752916.104033069,568336,33437720
1778752916.999140553,568336,33437720
1778752917.904235947,648364,54352028
1778752918.803627591,1232052,54386516
1778752919.705821117,1829072,54386516
1778752920.604925441,2461680,54394736
1778752921.503566522,3015852,54394736
1778752922.393891068,3611128,54402928
1778752923.282386089,4204392,54402928
1778752924.183216418,4795740,54402928
1778752925.065853882,5383108,54402928
1778752925.958408054,5968216,54402928
1778752926.840900441,6590148,54402928
1778752927.731356138,7187504,54402928
1778752928.623031383,7772020,54402928
1778752929.513815890,8389752,54402928
1778752930.416823759,8958508,54402928
1778752931.335665066,9560540,54402928
1778752932.228725279,10142532,54402928
1778752933.117747036,10748896,54402928
1778752934.013743236,11343844,54402928
1778752934.912344425,11940336,54402928
1778752935.806285521,12545900,54402928
1778752936.691654159,13141084,54402928
1778752937.584960060,13729944,54402928
1778752938.464294014,14366980,54402928
1778752939.362052560,14922732,54402928
1778752940.252725690,15522712,54402928
1778752941.137366406,16116756,54402928
1778752942.027617510,16722888,54402928
1778752942.922348278,17317560,54402928
1778752943.816410999,17902172,54402928
1778752944.696282482,18503712,54402928
1778752945.573865013,19098988,54402928
1778752946.461366034,19689396,54402928
1778752947.342669075,20316052,54402928
1778752948.235197407,20885392,54402928
1778752949.120967037,21484752,54402928
1778752950.011726591,22092848,54402928
1778752950.913541231,22690796,54402928
1778752951.803221346,23290264,54402928
1778752952.702755867,23872468,54402928
1778752953.585480357,24484852,54402928
1778752954.482171508,25067468,54402928
1778752955.378785425,25660420,54402928
1778752956.267969053,26288540,54402928
1778752957.172233067,26849572,54402928
1778752958.070689520,27162916,54402928
1778752958.977307842,27349712,54402928
1778752959.966580507,26597092,54402928
1778752961.071984625,27274516,54402928
1778752961.963029116,27909160,54402928
1778752962.853882814,27976688,54402928
1778752963.886570233,27066880,54402928
1778752965.236084336,27121252,54402928
1778752966.123094803,27796828,54402928
1778752967.011663383,27979924,54402928
1778752968.010636250,27969696,54402928
1778752968.986263198,27944768,54888332
1778752969.980376300,27958712,54888332
1778752970.880478960,27850524,54888332
1778752971.777530038,27709696,54888332
1778752972.692487401,27714168,54888332
1778752973.608351628,27489876,54888332
1778752974.534595081,27975280,54888332
1778752975.433379738,27957252,54888332
1778752976.323311861,27790808,54888332
1778752977.268027702,27820176,54888332
1778752978.258800221,27927676,54888332
1778752979.189888756,27788724,54888332
1778752980.090549193,27639428,54888332
1778752981.039338882,27540704,54888332
1778752981.940156325,27925316,54888332
1778752982.888652052,27892168,54888332
1778752983.874014634,27951644,54888332
1778752984.789810744,27986656,54888332
1778752985.698892332,27798548,54888332
1778752986.588416307,27550020,54888332
1778752987.502468826,27639088,54888332
1778752988.385526963,27572312,54888332
1778752989.270474297,27483904,54888332
1778752990.174642554,27502196,54888332
1778752991.121976491,27963460,54888332
1778752992.015792642,27913880,54888332
1778752992.947445271,27948952,54888332
1778752993.886208506,27946780,54888332
1778752994.803940789,27886244,54888332
1778752995.709846332,27765844,54888332
1778752996.605846972,27659160,54888332
1778752997.544346937,27627308,54888332
1778752998.461069727,27916712,54888332
1778752999.398912565,27951836,54888332
1778753000.299712730,27932040,57498968
1778753001.305067403,27943108,57498968
1778753002.272489508,27970548,57498968
1778753003.255150947,27958864,57787548
1778753004.227367076,27936540,57787548
1778753005.197133061,27617400,58076128
1778753006.453509280,24261308,58076128
1778753007.342679929,24409552,58076128
1778753008.221826410,24588656,58076128
1778753009.102989083,24314664,58076128
1778753009.990389710,24496784,58076128
1778753010.890759113,24247576,58076128
1778753011.791283382,24435160,58076128
1778753012.681670665,24411204,58076128
1778753013.565540126,24373008,58076128
1778753014.465822909,24551432,58076128
1778753015.351347175,24295392,58076128
1778753016.241969410,24490600,58076128
1778753017.138428352,24228832,58076128
1778753018.034297495,24412984,58076128
1778753018.919414012,24601592,58076128
1778753019.810948829,24346608,58076128
1778753020.703106712,24530312,58076128
1778753021.594352209,24267672,58076128
1778753022.484688163,24459712,58076128
1778753023.376381073,24207400,58076128
1778753024.276763096,24393184,58076128
1778753025.168325016,24591824,58076128
1778753026.059902088,24339744,58076128
1778753026.964906342,24179420,58076128
1778753027.851644568,24709264,58076128
1778753028.736670731,24218112,58076128
1778753029.645062934,24254132,58076128
1778753030.536272403,24260304,58076128
1778753031.433271263,18723324,58076128
1778753032.350702014,12244340,58076128
1778753033.264679234,11056148,58076128
1778753034.153879692,11056148,58076128
1778753035.054083967,11056148,58076128
1778753035.947646251,11056148,58076128
1778753036.832412671,4873804,58076128
