domain,policy,decay,ppl,n_evictions,tokens_evicted,prefill_tok,bos_ratio_last
literary,sliding,n/a,326.17274475529945,1,64,150,n/a
literary,h2o,0.0,332.00572946319977,1,64,150,2
28.1565
literary,h2o,0.7,330.5976541185928,1,64,150,2
15.0611
literary,h2o,0.8,330.79123402157745,1,64,150,2
14.6429
literary,h2o,0.9,330.9602185273412,1,64,150,2
14.2715
encyclopedic,sliding,n/a,219.39865607309886,1,64,150,n/a
encyclopedic,h2o,0.0,221.35046616371693,1,64,150,2
36.5158
encyclopedic,h2o,0.7,221.36051483828277,1,64,150,2
12.5505
encyclopedic,h2o,0.8,221.79118714958443,1,64,150,2
12.2428
encyclopedic,h2o,0.9,220.97826474064001,1,64,150,2
11.4528
technical,sliding,n/a,277.3507408824455,1,64,150,n/a
technical,h2o,0.0,263.43221450263013,1,64,150,2
33.7018
technical,h2o,0.7,265.79783823874703,1,64,150,2
11.4216
technical,h2o,0.8,267.6183958182561,1,64,150,2
10.9230
technical,h2o,0.9,267.7668617669204,1,64,150,2
10.8388
conversational,sliding,n/a,203.45849674689765,1,64,150,n/a
conversational,h2o,0.0,201.29800567947498,1,64,150,2
33.2621
conversational,h2o,0.7,201.5389618506677,1,64,150,2
9.4008
conversational,h2o,0.8,201.65907249747045,1,64,150,2
8.9476
conversational,h2o,0.9,202.11423635489442,1,64,150,2
8.2506
news,sliding,n/a,267.1998295451866,1,64,150,n/a
news,h2o,0.0,271.5382386042341,1,64,150,2
31.4410
news,h2o,0.7,270.1618044786266,1,64,150,2
13.2302
news,h2o,0.8,269.8197656843772,1,64,150,2
12.4508
news,h2o,0.9,269.9840830900777,1,64,150,2
12.0390
