position,score
0,22.595249
1,0.021532
2,0.062630
3,0.108308
4,0.041675
5,0.033232
6,0.038897
7,0.076086
8,0.045387
9,0.063465
10,0.030864
11,0.082193
12,0.099991
13,0.046944
14,0.056188
15,0.045327
16,0.031794
17,0.045633
18,0.104457
19,0.034968
20,0.047547
21,0.024609
22,0.067525
23,0.103947
24,0.043403
25,0.069708
26,0.021801
27,0.055844
28,0.053255
29,0.027310
30,0.047944
31,0.039137
32,0.109562
33,0.040600
34,0.105941
35,0.042294
36,0.050389
37,0.055649
38,0.025830
39,0.045789
40,0.045724
41,0.034069
42,0.037377
43,0.051538
44,0.102296
45,0.047556
46,0.025383
47,0.024679
48,0.036582
49,0.053366
50,0.032186
51,0.038972
52,0.022659
53,0.053281
54,0.037509
55,0.021745
56,0.052370
57,0.064428
58,0.094537
59,0.060407
60,0.048339
61,0.046686
62,0.090394
63,0.053462
64,0.048851
65,0.062274
66,0.042618
67,0.044678
68,0.054895
69,0.031343
70,0.042838
71,0.080363
72,0.057885
73,0.043604
74,0.049217
75,0.067935
76,0.044702
77,0.028807
78,0.058398
79,0.041385
80,0.039552
81,0.054356
82,0.066293
83,0.068259
84,0.057044
85,0.038110
86,0.058175
87,0.052252
88,0.054827
89,0.062918
90,0.181647
91,0.080659
92,0.072473
93,0.124032
94,0.064774
95,0.063100
96,0.062910
97,0.056588
98,0.096379
99,0.078281
100,0.040635
101,0.065768
102,0.067688
103,0.058943
104,0.046844
105,0.049746
106,0.052293
107,0.049801
108,0.071871
109,0.055140
110,0.034387
111,0.038269
112,0.192387
113,0.114752
114,0.047837
115,0.041395
116,0.059015
117,0.038237
118,0.038557
119,0.068642
120,0.047111
121,0.041919
122,0.042988
123,0.066163
124,0.049676
125,0.040492
126,0.048239
127,0.043225
128,0.046953
129,0.054627
130,0.038008
131,0.035835
132,0.029997
133,0.050155
134,0.043766
135,0.040446
136,0.036636
137,0.114702
138,0.054118
139,0.075461
140,0.107691
141,0.053812
142,0.052590
143,0.045106
144,0.084409
145,0.052369
146,0.066896
147,0.075233
148,0.039780
149,0.076845
150,0.055079
151,0.078739
152,0.055558
153,0.038463
154,0.043018
155,0.045188
156,0.035041
157,0.049117
158,0.035680
159,0.060962
160,0.196881
161,0.059389
162,0.081417
163,0.111798
164,0.065118
165,0.047693
166,0.097591
167,0.074982
168,0.064762
169,0.048390
170,0.056548
171,0.053846
172,0.138734
173,0.060953
174,0.108297
175,0.054485
176,0.059439
177,0.037264
178,0.038129
179,0.074090
180,0.058586
181,0.041662
182,0.051364
183,0.045026
184,0.039570
185,0.048299
186,0.123124
187,0.059187
188,0.111026
189,0.059286
190,0.027745
191,0.055521
192,0.043344
193,0.067403
194,0.032784
195,0.043518
196,0.039595
197,0.087227
198,0.044062
199,0.067622
200,0.055508
201,0.032840
202,0.022770
203,0.030728
204,0.084105
205,0.077187
206,0.079037
207,0.128311
208,0.079174
209,0.050825
210,0.058430
211,0.060957
212,0.045670
213,0.051570
214,0.054213
215,0.117860
216,0.056007
217,0.072014
218,0.046486
219,0.090200
220,0.057708
221,0.055997
222,0.065744
223,0.134176
224,0.075951
225,0.043023
226,0.057424
227,0.107124
228,0.105482
229,0.066221
230,0.052004
231,0.056028
232,0.048739
233,0.065002
234,0.057831
235,0.082392
236,0.104314
237,0.063035
238,0.065610
239,0.085767
240,0.061950
241,0.060325
242,0.034575
243,0.031954
244,0.035544
245,0.036368
246,0.053509
247,0.055724
248,0.074519
249,0.066198
250,0.062184
251,0.046343
252,0.050125
253,0.112191
254,0.082943
255,0.071018
256,0.058068
257,0.066110
258,0.049987
259,0.057673
260,0.155585
261,0.098403
262,0.150715
263,0.068601
264,0.083286
265,0.061384
266,0.060752
267,0.071119
268,0.074546
269,0.146534
270,0.076634
271,0.085062
272,0.049872
273,0.114700
274,0.067097
275,0.090531
276,0.090066
277,0.059757
278,0.076714
279,0.069178
280,0.089656
281,0.052971
282,0.060850
283,0.107407
284,0.061782
285,0.038461
286,0.076332
287,0.068151
288,0.089186
289,0.084524
290,0.048322
291,0.080033
292,0.086354
293,0.089807
294,0.063548
295,0.051465
296,0.052292
297,0.045463
298,0.081443
299,0.066322
300,0.064753
301,0.044478
302,0.045073
303,0.083138
304,0.050160
305,0.048776
306,0.070823
307,0.055556
308,0.055917
309,0.037577
310,0.038792
311,0.044578
312,0.041128
313,0.058116
314,0.070527
315,0.043957
316,0.052611
317,0.074117
318,0.055123
319,0.069584
320,0.049665
321,0.049995
322,0.043749
323,0.041533
324,0.034636
325,0.122605
326,0.086255
327,0.057454
328,0.101176
329,0.095321
330,0.057827
331,0.101161
332,0.061894
333,0.069679
334,0.109155
335,0.076214
336,0.046381
337,0.065752
338,0.092328
339,0.076510
340,0.045936
341,0.044710
342,0.054498
343,0.047631
344,0.059010
345,0.066432
346,0.056647
347,0.092270
348,0.044107
349,0.042720
350,0.043934
351,0.062581
352,0.055671
353,0.039327
354,0.082621
355,0.072217
356,0.062762
357,0.054065
358,0.075296
359,0.045386
360,0.088714
361,0.053030
362,0.074183
363,0.071653
364,0.060658
365,0.039953
366,0.072154
367,0.087727
368,0.047752
369,0.043562
370,0.051610
371,0.045620
372,0.046790
373,0.050140
374,0.065588
375,0.052054
376,0.043146
377,0.063903
378,0.067512
379,0.069606
380,0.043083
381,0.047150
382,0.060430
383,0.032964
384,0.055569
385,0.035438
386,0.043918
387,0.037605
388,0.175741
389,0.070376
390,0.088447
391,0.229031
392,0.095412
393,0.087353
394,0.065034
395,0.105995
396,0.091531
397,0.103917
398,0.077120
399,0.149622
400,0.155469
401,0.095247
402,0.084670
403,0.109295
404,0.102667
405,0.058513
406,0.047257
407,0.057297
408,0.059333
409,0.111387
410,0.096274
411,0.073470
412,0.069190
413,0.185614
414,0.073789
415,0.096762
416,0.075178
417,0.084576
418,0.088840
419,0.110360
420,0.074828
421,0.052294
422,0.077193
423,0.076766
424,0.082401
425,0.140739
426,0.075387
427,0.072598
428,0.139515
429,0.088371
430,0.075978
431,0.083680
432,0.112690
433,0.090986
434,0.091492
435,0.083602
436,0.068833
437,0.081170
438,0.121882
439,0.070346
440,0.075372
441,0.226372
442,0.108486
443,0.069141
444,0.058167
445,0.069320
446,0.070331
447,0.074210
448,0.102444
449,0.099954
450,0.061922
451,0.060052
452,0.079423
453,0.064104
454,0.179153
455,0.189777
456,0.203649
457,0.084121
458,0.108667
459,0.120286
460,0.091712
461,0.101176
462,0.159120
463,0.082229
464,0.131661
465,0.110588
466,0.095039
467,0.154402
468,0.121337
469,0.100969
470,0.117874
471,0.110536
472,0.116688
473,0.131830
474,0.102233
475,0.069531
476,0.077365
477,0.111566
478,0.107608
479,0.161038
480,0.133998
481,0.131678
482,0.115123
483,0.102244
484,0.076421
485,0.122799
486,0.106192
487,0.133006
488,0.065162
489,0.089010
