cell,dtype,backend,n_raw,n_outlier,n_valid,median_ms,stdev_ms,cv_pct,p25_ms,p75_ms,min_ms,max_ms,max_abs_err_max,cosine_min
M6b,f16,executorch,7,0,7,0.4558,0.0143,3.14,0.4492,0.4746,0.4433,0.4838,None,None
M7,w8a8,executorch,7,0,7,0.276,0.0196,7.11,0.2732,0.3083,0.273,0.3154,None,None
