domain,actual_layer,kv_head,mpc,redundant_fraction
ppl05L_news,7,1,0.428337,0.996212
ppl05L_news,7,2,0.350156,0.996212
ppl05L_news,7,3,0.407667,0.996212
ppl05L_news,7,4,0.726277,0.996212
ppl05L_news,7,5,0.292864,0.996212
ppl05L_news,7,6,0.330597,0.996212
ppl05L_news,7,7,0.651022,0.996212
ppl05L_news,8,0,0.287118,0.996212
ppl05L_news,8,1,0.736320,0.996212
ppl05L_news,8,2,0.416835,0.996212
ppl05L_news,8,3,0.278916,0.996212
ppl05L_news,8,4,0.444059,0.996212
ppl05L_news,8,5,0.323591,0.996212
ppl05L_news,8,6,0.521623,0.996212
ppl05L_news,8,7,0.352483,0.996212
ppl05L_news,9,0,0.638684,0.996212
ppl05L_news,9,1,0.563381,0.996212
ppl05L_news,9,2,0.575637,0.996212
ppl05L_news,9,3,0.766014,0.996212
ppl05L_news,9,4,0.394655,0.996212
ppl05L_news,9,5,0.738354,0.996212
ppl05L_news,9,6,0.228126,0.996212
ppl05L_news,9,7,0.733032,0.996212
ppl05L_news,10,0,0.477674,0.996212
ppl05L_news,10,1,0.654977,0.996212
ppl05L_news,10,2,0.706773,0.996212
ppl05L_news,10,3,0.375693,0.996212
ppl05L_news,10,4,0.597797,0.996212
ppl05L_news,10,5,0.641833,0.996212
ppl05L_news,10,6,0.340087,0.996212
ppl05L_news,10,7,0.393989,0.996212
ppl05L_news,11,0,0.786481,0.996212
ppl05L_news,11,1,0.340454,0.996212
ppl05L_news,11,2,0.463221,0.996212
ppl05L_news,11,3,0.304081,0.996212
ppl05L_news,11,4,0.309394,0.996212
ppl05L_news,11,5,0.260164,0.996212
ppl05L_news,11,6,0.332020,0.996212
ppl05L_news,11,7,0.666774,0.996212
ppl05L_news,12,0,0.386847,0.996212
ppl05L_news,12,1,0.716072,0.996212
ppl05L_news,12,2,0.318520,0.996212
ppl05L_news,12,3,0.676048,0.996212
ppl05L_news,12,4,0.346134,0.996212
ppl05L_news,12,5,0.323194,0.996212
ppl05L_news,12,6,0.351157,0.996212
ppl05L_news,12,7,0.591480,0.996212
ppl05L_news,13,0,0.441399,0.996212
ppl05L_news,13,1,0.337090,0.996212
ppl05L_news,13,2,0.699003,0.996212
ppl05L_news,13,3,0.395487,0.996212
ppl05L_news,13,4,0.642772,0.996212
ppl05L_news,13,5,0.491904,0.996212
ppl05L_news,13,6,0.757562,0.996212
ppl05L_news,13,7,0.371515,0.996212
ppl05L_news,14,0,0.415925,0.996212
ppl05L_news,14,1,0.288491,0.996212
ppl05L_news,14,2,0.628293,0.996212
ppl05L_news,14,3,0.437438,0.996212
ppl05L_news,14,4,0.739383,0.996212
ppl05L_news,14,5,0.627546,0.996212
ppl05L_news,14,6,0.516758,0.996212
ppl05L_news,14,7,0.704428,0.996212
ppl05L_news,15,0,0.297108,0.996212
ppl05L_news,15,1,0.424044,0.996212
ppl05L_news,15,2,0.759765,0.996212
ppl05L_news,15,3,0.591159,0.996212
ppl05L_news,15,4,0.456143,0.996212
ppl05L_news,15,5,0.640548,0.996212
ppl05L_news,15,6,0.649069,0.996212
ppl05L_news,15,7,0.735504,0.996212
