domain,actual_layer,kv_head,mpc,redundant_fraction
ppl01L_literary,15,0,0.296868,0.996212
ppl01L_literary,15,1,0.442359,0.996212
ppl01L_literary,15,2,0.755080,0.996212
ppl01L_literary,15,3,0.590897,0.996212
ppl01L_literary,15,4,0.448858,0.996212
ppl01L_literary,15,5,0.657131,0.996212
ppl01L_literary,15,6,0.639726,0.996212
ppl01L_literary,15,7,0.742726,0.996212
ppl02L_encyclopedic,0,0,0.583488,0.996212
ppl02L_encyclopedic,0,1,0.550032,0.996212
ppl02L_encyclopedic,0,2,0.267148,0.996212
ppl02L_encyclopedic,0,3,0.509676,0.996212
ppl02L_encyclopedic,0,4,0.381688,0.996212
ppl02L_encyclopedic,0,5,0.287764,0.996212
ppl02L_encyclopedic,0,6,0.579806,0.996212
ppl02L_encyclopedic,0,7,0.276570,0.996212
ppl02L_encyclopedic,1,0,0.590307,1.000000
ppl02L_encyclopedic,1,1,0.499492,1.000000
ppl02L_encyclopedic,1,2,0.400142,1.000000
ppl02L_encyclopedic,1,3,0.409732,1.000000
ppl02L_encyclopedic,1,4,0.394098,1.000000
ppl02L_encyclopedic,1,5,0.419284,1.000000
ppl02L_encyclopedic,1,6,0.437474,1.000000
ppl02L_encyclopedic,1,7,0.294387,1.000000
ppl02L_encyclopedic,2,0,0.345066,0.996212
ppl02L_encyclopedic,2,1,0.736098,0.996212
ppl02L_encyclopedic,2,2,0.601538,0.996212
ppl02L_encyclopedic,2,3,0.605385,0.996212
ppl02L_encyclopedic,2,4,0.287851,0.996212
ppl02L_encyclopedic,2,5,0.584614,0.996212
ppl02L_encyclopedic,2,6,0.467799,0.996212
ppl02L_encyclopedic,2,7,0.448826,0.996212
ppl02L_encyclopedic,3,0,0.611744,0.996212
ppl02L_encyclopedic,3,1,0.353673,0.996212
ppl02L_encyclopedic,3,2,0.478373,0.996212
ppl02L_encyclopedic,3,3,0.358154,0.996212
ppl02L_encyclopedic,3,4,0.666025,0.996212
ppl02L_encyclopedic,3,5,0.778348,0.996212
ppl02L_encyclopedic,3,6,0.270100,0.996212
ppl02L_encyclopedic,3,7,0.342361,0.996212
ppl02L_encyclopedic,4,0,0.309343,0.996212
ppl02L_encyclopedic,4,1,0.203246,0.996212
ppl02L_encyclopedic,4,2,0.745579,0.996212
ppl02L_encyclopedic,4,3,0.410728,0.996212
ppl02L_encyclopedic,4,4,0.529531,0.996212
